Voltage (V),Current (A),Capacity (mAh),T1(C),
4.334,-13.9989,0,35.2,
4.3001,-13.9993,38.9,35.2,
4.2931,-13.9991,77.8,35.3,
4.2881,-13.9998,116.7,35.3,
4.284,-13.9999,155.5,35.3,
4.2802,-13.9996,194.4,35.3,
4.2767,-13.9991,233.3,35.3,
4.2733,-13.9995,272.2,35.3,
4.27,-13.9993,311.1,35.4,
4.2667,-13.9993,350,35.4,
4.2634,-13.9996,388.9,35.4,
4.2602,-13.9995,427.8,35.4,
4.257,-13.9991,466.6,35.4,
4.2538,-13.9992,505.5,35.5,
4.2506,-13.9992,544.4,35.5,
4.2474,-13.9994,583.3,35.5,
4.2443,-13.9998,622.2,35.5,
4.2411,-13.9991,661.1,35.5,
4.238,-13.9995,700,35.5,
4.2348,-13.9995,738.8,35.5,
4.2317,-13.9994,777.7,35.5,
4.2285,-13.999,816.6,35.6,
4.2254,-13.9989,855.5,35.6,
4.2222,-13.9991,894.4,35.6,
4.2191,-13.9993,933.3,35.6,
4.216,-13.9993,972.2,35.6,
4.2128,-13.9997,1011.1,35.6,
4.2097,-13.9991,1049.9,35.6,
4.2066,-13.9991,1088.8,35.7,
4.2034,-13.999,1127.7,35.7,
4.2004,-13.9986,1166.6,35.7,
4.1972,-13.9993,1205.5,35.7,
4.1941,-13.9992,1244.4,35.7,
4.191,-13.9991,1283.3,35.7,
4.1879,-13.9993,1322.1,35.7,
4.1848,-13.9994,1361,35.7,
4.1817,-13.9989,1399.9,35.7,
4.1786,-13.999,1438.8,35.8,
4.1754,-13.9996,1477.7,35.8,
4.1724,-13.9987,1516.6,35.8,
4.1693,-13.9991,1555.5,35.8,
4.1662,-13.9985,1594.3,35.8,
4.1631,-13.9987,1633.2,35.8,
4.16,-13.9991,1672.1,35.8,
4.1569,-13.9987,1711,35.8,
4.1539,-13.9989,1749.9,35.8,
4.1508,-13.999,1788.8,35.8,
4.1477,-13.9991,1827.7,35.8,
4.1446,-13.9989,1866.6,35.9,
4.1416,-13.9993,1905.4,35.9,
4.1385,-13.9992,1944.3,35.9,
4.1355,-13.9992,1983.2,35.9,
4.1324,-13.9996,2022.1,35.9,
4.1294,-13.9996,2061,35.9,
4.1263,-13.9994,2099.9,35.9,
4.1233,-13.9995,2138.8,35.9,
4.1202,-13.9988,2177.6,35.9,
4.1172,-13.9994,2216.5,35.9,
4.1142,-13.999,2255.4,35.9,
4.1111,-13.999,2294.3,35.9,
4.1081,-13.9992,2333.2,36,
4.1051,-13.9991,2372.1,36,
4.102,-13.9987,2411,36,
4.099,-13.9989,2449.9,36,
4.096,-13.9989,2488.7,36,
4.093,-13.9991,2527.6,36,
4.09,-13.9994,2566.5,36,
4.087,-13.9997,2605.4,36,
4.084,-13.9998,2644.3,36,
4.0809,-13.9989,2683.2,36,
4.078,-13.999,2722.1,36,
4.075,-13.9991,2760.9,36,
4.072,-13.9993,2799.8,36,
4.069,-13.9989,2838.7,36,
4.066,-13.9992,2877.6,36.1,
4.063,-13.9989,2916.5,36,
4.0601,-13.9988,2955.4,36,
4.0571,-13.9992,2994.3,36,
4.0542,-13.999,3033.1,36.1,
4.0512,-13.9997,3072,36.1,
4.0482,-13.998,3110.9,36.1,
4.0453,-13.9986,3149.8,36.1,
4.0424,-13.9995,3188.7,36.1,
4.0395,-13.9992,3227.6,36.1,
4.0366,-13.9989,3266.5,36,
4.0337,-13.999,3305.4,36,
4.0309,-13.9993,3344.2,36.1,
4.0282,-13.9992,3383.1,36.1,
4.0256,-13.9993,3422,36.1,
4.023,-13.9993,3460.9,36.1,
4.0205,-13.9988,3499.8,36.1,
4.0179,-13.999,3538.7,36.1,
4.0154,-13.9996,3577.6,36.1,
4.0128,-13.9987,3616.4,36.1,
4.0101,-13.9984,3655.3,36.1,
4.0073,-13.9998,3694.2,36.1,
4.0044,-13.9985,3733.1,36.2,
4.0014,-13.9989,3772,36.2,
3.9984,-13.9993,3810.9,36.2,
3.9953,-13.9991,3849.8,36.2,
3.9922,-13.9991,3888.6,36.2,
3.9891,-13.9989,3927.5,36.2,
3.9859,-13.9991,3966.4,36.2,
3.9828,-13.999,4005.3,36.2,
3.9796,-13.9992,4044.2,36.2,
3.9765,-13.999,4083.1,36.2,
3.9735,-13.9986,4122,36.2,
3.9704,-14.0005,4160.9,36.2,
3.9673,-13.9998,4199.7,36.2,
3.9643,-13.9985,4238.6,36.2,
3.9613,-13.9991,4277.5,36.3,
