Voltage (V),Current (A),Capacity (mAh),T1(C),
3.5632,-139.9882,8010.4,44.0
3.5622,-139.984,8049.2,44.0
3.5612,-139.9871,8088.1,44.1
3.5602,-139.9895,8127.0,44.1
3.5592,-139.9909,8165.9,44.2
3.5583,-139.983,8204.8,44.2
3.5573,-139.9893,8243.7,44.3
3.5564,-139.9863,8282.6,44.3
3.5554,-139.9881,8321.4,44.4
3.5545,-139.9869,8360.3,44.4
3.5536,-139.9842,8399.2,44.5
3.5527,-139.9919,8438.1,44.5
3.5518,-139.9817,8477.0,44.6
3.5509,-139.9852,8515.9,44.6
3.5501,-139.9832,8554.8,44.6
3.5492,-139.9921,8593.6,44.6
3.5484,-139.9862,8632.5,44.7
3.5475,-139.9909,8671.4,44.7
3.5467,-139.986,8710.3,44.8
3.5459,-139.9909,8749.2,44.8
3.5451,-139.9846,8788.1,44.8
3.5443,-139.9904,8827.0,44.9
3.5435,-139.9911,8865.8,44.9
3.5427,-139.9944,8904.7,44.9
3.5419,-139.9878,8943.6,45.0
3.5411,-139.9837,8982.5,45.0
3.5403,-139.9864,9021.4,45.1
3.5396,-139.9829,9060.3,45.2
3.5388,-139.984,9099.2,45.2
3.538,-139.9877,9138.0,45.3
3.5372,-139.9886,9176.9,45.3
3.5364,-139.9838,9215.8,45.4
3.5357,-139.9869,9254.7,45.5
3.5349,-139.9857,9293.6,45.5
3.5341,-139.9916,9332.5,45.6
3.5334,-139.9842,9371.4,45.6
3.5326,-139.9864,9410.2,45.7
3.5318,-139.9849,9449.1,45.8
3.531,-139.9832,9488.0,45.8
3.5302,-139.9926,9526.9,45.9
3.5294,-139.9922,9565.8,45.9
3.5286,-139.9833,9604.7,46.0
3.5278,-139.983,9643.6,46.0
3.527,-139.9822,9682.4,46.0
3.5262,-139.9865,9721.3,46.1
3.5254,-139.9853,9760.2,46.1
3.5245,-139.9881,9799.1,46.2
3.5238,-139.9849,9838.0,46.3
3.5229,-139.9872,9876.9,46.3
3.5221,-139.9922,9915.8,46.4
3.5213,-139.9862,9954.6,46.5
3.5204,-139.9911,9993.5,46.5
3.5196,-139.983,10032.4,46.6
3.5187,-139.9852,10071.3,46.6
3.5178,-139.9914,10110.2,46.6
3.5169,-139.9858,10149.1,46.7
3.516,-139.9873,10187.9,46.7
3.5151,-139.9865,10226.8,46.7
3.5143,-139.9858,10265.7,46.8
3.5134,-139.9836,10304.6,46.8
3.5125,-139.988,10343.5,46.9
3.5115,-139.991,10382.4,46.9
3.5106,-139.9849,10421.3,46.9
3.5096,-139.9833,10460.1,47.0
3.5087,-139.9863,10499.0,47.0
3.5078,-139.9918,10537.9,47.1
3.5068,-139.9843,10576.8,47.1
3.5058,-139.9878,10615.7,47.1
3.5048,-139.991,10654.6,47.1
3.5038,-139.9938,10693.5,47.2
3.5028,-139.9794,10732.3,47.2
3.5018,-139.9841,10771.2,47.2
3.5007,-139.9859,10810.1,47.3
3.4997,-139.984,10849.0,47.4
3.4987,-139.9861,10887.9,47.4
3.4976,-139.9887,10926.8,47.5
3.4965,-139.9874,10965.7,47.5
3.4954,-139.9897,11004.5,47.6
3.4944,-139.9912,11043.4,47.6
3.4932,-139.9875,11082.3,47.7
3.4921,-139.9851,11121.2,47.7
3.491,-139.9849,11160.1,47.8
3.4899,-139.9881,11199.0,47.8
3.4887,-139.9858,11237.9,47.9
3.4876,-139.9863,11276.7,47.9
3.4864,-139.9849,11315.6,47.9
3.4852,-139.9873,11354.5,48.0
3.484,-139.987,11393.4,48.0
3.4828,-139.9918,11432.3,48.1
3.4815,-139.9892,11471.2,48.1
3.4803,-139.9823,11510.1,48.2
3.479,-139.9857,11548.9,48.2
3.4777,-139.9869,11587.8,48.3
3.4764,-139.9894,11626.7,48.3
3.4751,-139.9896,11665.6,48.4
3.4737,-139.9813,11704.5,48.5
3.4724,-139.99,11743.4,48.5
3.471,-139.9872,11782.2,48.6
3.4695,-139.9849,11821.1,48.6
3.4681,-139.991,11860.0,48.6
3.4666,-139.9899,11898.9,48.7
3.4652,-139.9865,11937.8,48.7
3.4636,-139.9889,11976.7,48.7
3.4621,-139.987,12015.6,48.8
3.4606,-139.9842,12054.4,48.8
3.459,-139.9903,12093.3,48.9
3.4573,-139.9918,12132.2,49.0
3.4557,-139.9854,12171.1,49.0
3.454,-139.9863,12210.0,49.1
3.4522,-139.9908,12248.9,49.2
3.4505,-139.9914,12287.8,49.2
3.4487,-139.9885,12326.6,49.3
3.4468,-139.9926,12365.5,49.3
3.4449,-139.9864,12404.4,49.3
3.4429,-139.9836,12443.3,49.4
3.4409,-139.9845,12482.2,49.5
3.4388,-139.984,12521.1,49.5
3.4367,-139.9935,12560.0,49.5
3.4345,-139.9869,12598.8,49.5
3.4322,-139.9903,12637.7,49.6
3.4299,-139.9863,12676.6,49.7
3.4275,-139.9921,12715.5,49.8
3.4247,-139.9923,12754.4,49.8
3.4221,-139.988,12793.3,49.9
3.4194,-139.9895,12832.2,49.9
3.4165,-139.9848,12871.0,50.0
3.4136,-139.9852,12909.9,50.1
3.4105,-139.9886,12948.8,50.2
3.4072,-139.9848,12987.7,50.3
3.4038,-139.9848,13026.6,50.4
3.4001,-139.9831,13065.5,50.4
3.3963,-139.9851,13104.4,50.6
3.3922,-139.9909,13143.2,50.7
3.3879,-139.982,13182.1,50.8
3.3833,-139.9893,13221.0,50.9
3.3784,-139.9865,13259.9,51.0
3.3731,-139.9829,13298.8,51.1
3.3674,-139.9895,13337.7,51.2
3.3613,-139.9874,13376.6,51.2
3.3547,-139.99,13415.4,51.3
3.3475,-139.9871,13454.3,51.4
3.3398,-139.9906,13493.2,51.5
3.3312,-139.9915,13532.1,51.6
3.322,-139.9928,13571.0,51.7
3.3119,-139.9892,13609.9,51.7
3.3008,-139.9871,13648.8,51.8
3.2887,-139.9872,13687.6,51.9
3.2755,-139.9851,13726.5,52.0
3.2609,-139.9844,13765.4,52.1
3.2446,-139.988,13804.3,52.2
3.2267,-139.9877,13843.2,52.3
3.2068,-139.9829,13882.1,52.4
3.1843,-139.9913,13921.0,52.5
3.1591,-139.9857,13959.8,52.5
3.1303,-139.9876,13998.7,52.6
3.0964,-139.9906,14037.6,52.7
3.0566,-139.9844,14076.5,52.8
3.0074,-139.9847,14115.4,52.9
2.9999,-139.9841,14120.4,52.8
