Time_s,Voltage_V,Current_A,SOC,Temperature_C
32330,3.904661021805332,-18.0,0.5565476190474936,63.13112878202086
32331,3.9088505594061624,-18.0,0.5569047619046364,63.1164020637162
32332,3.912875996145144,-18.0,0.5572619047617793,63.102025359252394
32333,3.9167442036102273,-18.0,0.5576190476189221,63.08798436099015
32334,3.920461767357057,-18.0,0.557976190476065,63.074265360110175
32335,3.9240349987792316,-18.0,0.5583333333332078,63.06085522167679
32336,3.927469946486685,-18.0,0.5586904761903506,63.047741360736616
32337,3.9307724072125607,-18.0,0.5590476190474934,63.03491171940948
32338,3.933947936268107,-18.0,0.5594047619046363,63.02235474493031
32339,3.9370018575642964,-18.0,0.5597619047617791,63.010059368602725
32340,3.9399392732181258,-18.0,0.560119047618922,62.99801498562644
32341,3.942765072760787,-18.0,0.5604761904760648,62.98621143576233
32342,3.9454839419641945,-18.0,0.5608333333332076,62.974638984800364
32343,3.948100371301682,-18.0,0.5611904761903505,62.963288306797274
32344,3.950618664058007,-18.0,0.5615476190474933,62.95215046705183
32345,3.9530429441031965,-18.0,0.5619047619046361,62.941216905787364
32346,3.955377163344143,-18.0,0.562261904761779,62.93047942251205
32347,3.9576251088673207,-18.0,0.5626190476189218,62.91993016102899
32348,3.9597904097853807,-18.0,0.5629761904760646,62.90956159506902
32349,3.961876543799917,-18.0,0.5633333333332075,62.89936651452059
32350,3.963886843492144,-18.0,0.5636904761903503,62.8893380122317
32351,3.9658245023527643,-18.0,0.5640476190474931,62.879469471360544
32352,3.9676925805618177,-18.0,0.564404761904636,62.86975455325173
32353,3.9694940105288787,-18.0,0.5647619047617788,62.86018718581652
32354,3.971231602203521,-18.0,0.5651190476189216,62.85076155239612
32355,3.972908048165568,-18.0,0.5654761904760645,62.84147208108796
32356,3.9745259285042525,-18.0,0.5658333333332073,62.83231343451581
32357,3.9760877154950243,-18.0,0.5661904761903501,62.82328050002531
32358,3.977595778082394,-18.0,0.566547619047493,62.814368380287206
32359,3.9790523861768476,-18.0,0.5669047619046358,62.8055723842915
32360,3.9804597147735246,-18.0,0.5672619047617786,62.79688801871618
32361,3.9818198479000593,-18.0,0.5676190476189215,62.78831097965505
32362,3.983134782400651,-18.0,0.5679761904760643,62.77983714468979
32363,3.9844064315631513,-18.0,0.5683333333332071,62.771462565291856
32364,3.9856366285956697,-18.0,0.56869047619035,62.76318345954066
32365,3.9868271299589435,-18.0,0.5690476190474928,62.75499620514485
32366,3.987979618560431,-18.0,0.5694047619046356,62.74689733275405
32367,3.9890957068158697,-18.0,0.5697619047617785,62.73888351954917
32368,3.990176939583788,-18.0,0.5701190476189213,62.73095158309948
32369,3.991224796978235,-18.0,0.5704761904760641,62.72309847547568
32370,3.99224069706477,-18.0,0.570833333333207,62.715321277608034
32371,3.993225998444559,-18.0,0.5711904761903498,62.707617193879635
32372,3.994182002731204,-18.0,0.5715476190474926,62.69998354694488
32373,3.9951099569247615,-18.0,0.5719047619046355,62.69241777276391
32374,3.996011055687199,-18.0,0.5722619047617783,62.684917415843984
32375,3.9968864435233895,-18.0,0.5726190476189211,62.677480124679214
32376,3.9977372168715384,-18.0,0.572976190476064,62.670103647380415
32377,3.9985644261068236,-18.0,0.5733333333332068,62.66278582748724
32378,3.9993690774618154,-18.0,0.5736904761903496,62.65552459995488
32379,4.0001521348671565,-18.0,0.5740476190474925,62.64831798730825
32380,4.000914521715779,-18.0,0.5744047619046353,62.6411640959566
32381,4.00165712255385,-18.0,0.5747619047617781,62.634061112661875
32382,4.002380784701475,-18.0,0.575119047618921,62.62700730115456
32383,4.003086319806063,-18.0,0.5754761904760638,62.62000099889068
32384,4.003774505331163,-18.0,0.5758333333332066,62.613040613944285
32385,4.004446085983431,-18.0,0.5761904761903495,62.60612462202968
32386,4.005101775080303,-18.0,0.5765476190474923,62.59925156364803
32387,4.005742255860823,-18.0,0.5769047619046351,62.59242004135317
