Time_s,Voltage_V,Current_A,Temperature_C
36156,4.011644048189214,-18.0,59.543607740675384
36157,4.01197109067785,-18.0,59.5474075137198
36158,4.012297558679042,-18.0,59.551200284692655
36159,4.012623480141949,-18.0,59.55498602585588
36160,4.012948881743685,-18.0,59.558764711803
36161,4.01327378894467,-18.0,59.562536319348986
36162,4.013598226041659,-18.0,59.56630082742498
36163,4.013922216218489,-18.0,59.5700582169776
36164,4.014245781594709,-18.0,59.57380847087263
36165,4.0145689432721205,-18.0,59.57755157380297
36166,4.0148917213793585,-18.0,59.58128751220063
36167,4.015214135114566,-18.0,59.585016274152565
36168,4.015536202786266,-18.0,59.58873784932023
36169,4.015857941852486,-18.0,59.59245222886273
36170,4.016179368958223,-18.0,59.5961594053633
36171,4.0165004999713085,-18.0,59.59985937275906
36172,4.01682135001675,-18.0,59.60355212627393
36173,4.017141933509601,-18.0,59.60723766235446
36174,4.017462264186437,-18.0,59.610915978608546
36175,4.017782355135482,-18.0,59.6145870737469
36176,4.018102218825446,-18.0,59.61825094752707
36177,4.0184218671331315,-18.0,59.62190760070006
36178,4.01874131136986,-18.0,59.625557034959236
36179,4.019060562306764,-18.0,59.62919925289159
36180,4.019379630198997,-18.0,59.632834257931215
36181,4.019698524808898,-18.0,59.636462054314826
36182,4.020017255428174,-18.0,59.64008264703932
36183,4.020335830899114,-18.0,59.643696041821265
36184,4.020654259634905,-18.0,59.6473022450582
36185,4.020972549639061,-18.0,59.65090126379173
36186,4.021290708524022,-18.0,59.65449310567229
36187,4.02160874352895,-18.0,59.65807777892552
36188,4.021926661536755,-18.0,59.66165529232018
36189,4.022244469090381,-18.0,59.66522565513754
36190,4.022562172408398,-18.0,59.668788877142205
36191,4.02287977739991,-18.0,59.672344968554256
36192,4.0231972896788175,-18.0,59.67589394002268
36193,4.023514714577464,-18.0,59.67943580260009
36194,4.023832057159689,-18.0,59.682970567718556
36195,4.024149322233309,-18.0,59.68649824716661
36196,4.024466514362061,-18.0,59.690018853067315
36197,4.024783637877022,-18.0,59.69353239785738
36198,4.0251006968875265,-18.0,59.69703889426724
36199,4.025417695291614,-18.0,59.70053835530211
36200,4.025734636786014,-18.0,59.7040307942239
36201,4.026051524875694,-18.0,59.70751622453406
36202,4.026368362882989,-18.0,59.71099465995719
36203,4.026685153956329,-18.0,59.71446611442542
36204,4.027001901078587,-18.0,59.71793060206367
36205,4.027318607075046,-18.0,59.72138813717547
36206,4.027635274621034,-18.0,59.72483873422956
36207,4.027951906249201,-18.0,59.728282407847146
36208,4.028268504356486,-18.0,59.731719172789774
36209,4.0285850712107765,-18.0,59.73514904394776
36210,4.028901608957257,-18.0,59.73857203632927
36211,4.029218119624499,-18.0,59.74198816504992
36212,4.02953460513025,-18.0,59.74539744532285
36213,4.02985106728699,-18.0,59.74879989244939
36214,4.030167507807225,-18.0,59.75219552181012
36215,4.030483928308549,-18.0,59.75558434885644
36216,4.0308003303184705,-18.0,59.75896638910252
36217,4.0311167152790315,-18.0,59.76234165811776
36218,4.031433084551213,-18.0,59.76571017151956
36219,4.031749439419138,-18.0,59.76907194496647
36220,4.032065781094097,-18.0,59.77242699415178
36221,4.03238211071837,-18.0,59.77577533479738
36222,4.0326984293688914,-18.0,59.77911698264796
36223,4.033014738060744,-18.0,59.782451953465575
